operation,step,earned
Operation Poison Pill,Step 1: Party Crasher,TRUE
Operation Poison Pill,Step 2: Press the Attack,TRUE
Operation Poison Pill,Step 3: Eyes in the Sky,TRUE
Operation Poison Pill,Step 4: Command Breaker,TRUE
Operation Poison Pill,Step 5: Mystery Boxes,TRUE
Operation Poison Pill,Step 6: Hit List,TRUE
Operation Poison Pill,Step 7: The Red Mist,TRUE
Operation Poison Pill,Step 8: Elite Hunt,TRUE
Operation Poison Pill,Step 9: Earth Skaker,TRUE
Operation Poison Pill,Glitch Step: Link Forger,TRUE
Operation Broken Mirror,Step 1: Walk Tall,TRUE
Operation Broken Mirror,Step 2: On the Trail,TRUE
Operation Broken Mirror,Step 3: Toxin Investigation,TRUE
Operation Broken Mirror,Step 4: Shifters in the Mist,TRUE
Operation Broken Mirror,Step 5: System Intrusion,TRUE
Operation Broken Mirror,Step 6: Power Chain,TRUE
Operation Broken Mirror,Step 7: Fear Hunter,TRUE
Operation Broken Mirror,Step 8: Blade and Flame,TRUE
Operation Broken Mirror,Step 9: Infestation,TRUE
Operation Broken Mirror,Glitch Step: Virus Injection,TRUE
Operation Wall Breaker,Step 1: Identify an Edge Node,TRUE
Operation Wall Breaker,Step 2: Trace the Network,TRUE
Operation Wall Breaker,Step 3: Tier 2 Protocol,TRUE
Operation Wall Breaker,Step 4: Uplink,TRUE
Operation Wall Breaker,Step 5: Satellite Station,TRUE
Operation Wall Breaker,Step 6: Executive Retreat,TRUE
Operation Wall Breaker,Step 7: Advanced Access,TRUE
Operation Wall Breaker,Step 8: At the Gates,TRUE
Operation Wall Breaker,Step 9: Command Node,TRUE
Operation Wall Breaker,Glitch Step: Command Killer,TRUE
Operation King Killer,Step 1: Vehicular Violence,FALSE
Operation King Killer,Step 2: Gear Head,FALSE
Operation King Killer,Step 3: Power Tools,FALSE
Operation King Killer,Step 4: Danger Close,FALSE
Operation King Killer,Step 5: High Octane,FALSE
Operation King Killer,Step 6: Hands Tied,FALSE
Operation King Killer,Step 7: Peak Performance,FALSE
Operation King Killer,Step 8: Blood Rider,FALSE
Operation King Killer,Step 9: Cannon Fodder,FALSE
Operation King Killer,Glitch Step: Prime Target,FALSE
