field_upgrade_id,field_upgrade_name,raw_description,mastery_action,effect_tags,recommendation_tags,source,source_date,verification_status,notes
assault_pack,Assault Pack,Extra ammo and equipment to resupply your team.,Restocks,ammo_resupply;equipment_resupply;team_support,field_upgrade_mastery;long_streaks;team_support,in_game_screenshot,2026-07-11,verified,
drone_pod,Drone Pod,Deployable device that launches aerial drones. Drones seek out enemies and explode.,Elims,deployable;autonomous_drones;enemy_tracking;explosive_damage,field_upgrade_mastery;objective_defence;autonomous_kills,in_game_screenshot,2026-07-11,verified,
trophy_system,Trophy System,Area defense system destroys enemy projectiles in the air.,Intercepts,projectile_interception;area_defence;equipment_counter,field_upgrade_mastery;hardpoint;domination;objective_defence,in_game_screenshot,2026-07-11,verified,
active_camo,Active Camo,Become nearly invisible for a short duration. Attacking ends the effect.,Cloaked Kills,temporary_cloak;stealth;attack_cancels_effect,field_upgrade_mastery;stealth;flanking;search_and_destroy,in_game_screenshot,2026-07-11,verified,
echo_unit,Echo Unit,Placed holographic decoy tricks enemies and captures objectives.,Deceived & Killed,holographic_decoy;enemy_deception;objective_capture,field_upgrade_mastery;objective_play;deception,in_game_screenshot,2026-07-11,verified,
squad_link,Squad Link,Deployed device that boosts score and improves effectiveness of allied operators and gadgets in range.,Linked Elims,score_boost;ally_effectiveness;gadget_effectiveness;team_support;area_buff,field_upgrade_mastery;team_support;scorestreak_builds;objective_play,in_game_screenshot,2026-07-11,verified,
scrambler,Scrambler,"Disrupts nearby enemy equipment, field upgrades, scorestreaks, and minimaps.",Scrambled & Killed,equipment_disruption;field_upgrade_disruption;scorestreak_disruption;minimap_disruption;area_denial,field_upgrade_mastery;counter_equipment;objective_play,in_game_screenshot,2026-07-11,verified,
fear_trap,Fear Trap,"Deployed trap which emits a neurotoxic gas cloud, causing severe hallucinations and disorienting victims.",Disoriented & Killed,deployable_trap;neurotoxic_gas;hallucination;enemy_disorientation;area_denial,field_upgrade_mastery;trap_play;objective_defence;area_denial,in_game_screenshot,2026-07-11,verified,
black_hat,Black Hat,"Field Upgrade that disrupts enemies, equipment, and scorestreaks. Aim continuously at a target to use.",Breaches,targeted_disruption;enemy_disruption;equipment_disruption;scorestreak_disruption;continuous_aim,field_upgrade_mastery;counter_equipment;counter_scorestreak,in_game_screenshot,2026-07-11,verified,
mute_field,Mute Field,"Stealth device which gives you the Ninja, Ghost, and Cold Blooded perks for a duration. The duration extends on kills.",Muted Kills,temporary_ninja;temporary_ghost;temporary_cold_blooded;stealth;duration_extension_on_kill,field_upgrade_mastery;stealth;flanking;aggressive_play,in_game_screenshot,2026-07-11,verified,
morphine_injector,Morphine Injector,"For a duration, fatal damage puts you into a Last Stand state. Teammates can revive you, or get a kill to self-revive.",,temporary_last_stand;teammate_revive;self_revive_on_kill;survivability,survivability;objective_play;team_support,in_game_screenshot,2026-07-11,verified,Mastery action was not visible in the capture.
tactical_insertion,Tactical Insertion,Marks a location as your next spawn point.,,custom_respawn_location;positioning;objective_rotation,objective_rotation;positioning;large_maps,in_game_screenshot,2026-07-11,verified,Mastery action was not visible in the capture.
